topology,noise_rate,replicate,batc
Linear,3.5,3,0.22672400144759147
Linear,3.5,4,0.3639800765335674
Linear,3.5,5,0.20497290608698804
Linear,3.5,6,0.2659627252989584
Linear,3.5,7,0.17238760140290363
Linear,3.5,8,0.3273192790964
Linear,3.5,9,0.419884793777663
Linear,3.5,10,0.30453922045011916
Linear,4.0,1,0.2930431205500276
Linear,4.0,2,0.26739095905612625
Linear,4.0,3,0.26333568765978427
Linear,4.0,4,0.3440864105527004
Linear,4.0,5,0.10918800999887805
Linear,4.0,6,0.32881771676407934
Linear,4.0,7,0.3382977599210352
Linear,4.0,8,0.28422335515313735
Linear,4.0,9,0.3840698318182308
Linear,4.0,10,0.14106847682156073
Linear,4.5,1,0.3356037461066145
Linear,4.5,2,0.27366112821895966
Linear,4.5,3,0.35967819510107885
Linear,4.5,4,0.30467046975840173
Linear,4.5,5,0.1294305678257525
Linear,4.5,6,0.25685178689710547
Linear,4.5,7,0.11408589609580766
Linear,4.5,8,0.21755344896583034
Linear,4.5,9,0.18235645921389226
Linear,4.5,10,0.1550232404806969
Linear,5.0,1,0.1652548729405832
Linear,5.0,2,0.07013225266929149
Linear,5.0,3,-0.10442983968541174
Linear,5.0,4,0.6275222295900555
Linear,5.0,5,0.2218300275625262
Linear,5.0,6,0.10593008977763711
Linear,5.0,7,0.1743121725457107
Linear,5.0,8,0.06486172242693353
Linear,5.0,9,0.4141313928862688
Linear,5.0,10,0.17415780480360757
Bifurcating,1.0,1,0.5607203345250152
Bifurcating,1.0,2,0.5756347911275433
Bifurcating,1.0,3,0.7006313181455975
Bifurcating,1.0,4,0.6451458873783507
Bifurcating,1.0,5,0.5888345874035049
Bifurcating,1.0,6,0.6542706681322648
Bifurcating,1.0,7,0.701631319812354
Bifurcating,1.0,8,0.5595778183657255
Bifurcating,1.0,9,0.6483928413532399
Bifurcating,1.0,10,0.5837352679526446
Bifurcating,1.5,1,0.6913312225371058
Bifurcating,1.5,2,0.6843532743616534
Bifurcating,1.5,3,0.5994213068669763
Bifurcating,1.5,4,0.7010796548930556
Bifurcating,1.5,5,0.6337500014573209
Bifurcating,1.5,6,0.5832441817544186
Bifurcating,1.5,7,0.6004772579745878
Bifurcating,1.5,8,0.7071636669800241
Bifurcating,1.5,9,0.6918657133382337
Bifurcating,1.5,10,0.6924133376539588
Bifurcating,2.0,1,0.5186340685756329
Bifurcating,2.0,2,0.6512932637411876
Bifurcating,2.0,3,0.6037525187607533
Bifurcating,2.0,4,0.5290299432128995
Bifurcating,2.0,5,0.6120230913556306
Bifurcating,2.0,6,0.6511596095339662
Bifurcating,2.0,7,0.6441739170200256
