method,gene,truth_cosine,predicted_cosine,predicted_cosine_range_matched,truth_label,predicted_label
GRAVITY,SYNPO,0.086468218,0.5922073215398121,0.709073190673434,Neutral,Cooperative
GRAVITY,SEPHS1,0.361534747,0.29584990431407376,0.3388627614518911,Neutral,Neutral
GRAVITY,H2AFZ,-0.924450454,-0.08493031272647313,-0.13680884113288905,Destabilizing,Neutral
GRAVITY,KATNAL1,-0.490629153,-0.20858898496786885,-0.29128356478248263,Neutral,Neutral
GRAVITY,CPEB2,0.002803627,-0.20275443970119258,-0.28399503619524824,Neutral,Neutral
GRAVITY,FBXL20,-0.45569417,-0.2810589138694854,-0.3818131818086904,Neutral,Neutral
GRAVITY,VRK1,-0.419361152,-0.3497732847083133,-0.4676513462793769,Neutral,Neutral
GRAVITY,ENAH,0.431492289,-0.4892031954288896,-0.6418275406105205,Neutral,Destabilizing
GRAVITY,PTX3,0.761123426,0.5049075836126129,0.6000181390013553,Cooperative,Cooperative
GRAVITY,PPP2R5C,0.721099559,-0.42459839585646764,-0.5611230628776078,Cooperative,Destabilizing
GRAVITY,CDCA2,-0.686195709,-0.6157637322234981,-0.7999272807413765,Destabilizing,Destabilizing
GRAVITY,TSPYL4,-0.165205462,0.5721504055112092,0.6840180408434784,Neutral,Cooperative
GRAVITY,NUP85,-0.130682921,-0.28794334964646434,-0.3904132362557913,Neutral,Neutral
GRAVITY,GEN1,-0.765315761,-0.4775982987992751,-0.6273306746216772,Destabilizing,Destabilizing
GRAVITY,FANCI,-0.5890366,-0.5468703767486168,-0.7138655282142221,Destabilizing,Destabilizing
GRAVITY,GNL3,-0.655318141,-0.21819553362420294,-0.30328408946882823,Destabilizing,Neutral
GRAVITY,FANCG,-0.042142238,0.5143680435532342,0.611836169297465,Neutral,Cooperative
GRAVITY,ADD2,-0.356639848,-0.46504714224721105,-0.6116517383633446,Neutral,Destabilizing
GRAVITY,BRIP1,-0.534588512,-0.449597630111018,-0.5923521690367339,Destabilizing,Destabilizing
GRAVITY,SQSTM1,0.667178488,-0.34402133261493356,-0.4604659932914682,Cooperative,Neutral
GRAVITY,KIF20A,-0.111077264,0.27352044930315095,0.31096875022294235,Neutral,Neutral
GRAVITY,TNS2,-0.060927866,0.5448066492427318,0.6498601519016556,Neutral,Cooperative
GRAVITY,RGS3,-0.128234277,-0.04644719291680558,-0.0887356313044031,Neutral,Neutral
GRAVITY,SLC35F3,0.019807002,-0.278936849843816,-0.37916229410311886,Neutral,Neutral
GRAVITY,ZHX2,-0.076250405,-0.29824069659082686,-0.4032767078969003,Neutral,Neutral
GRAVITY,CENPP,-0.449175347,-0.28513847537875875,-0.3869093802825535,Neutral,Neutral
GRAVITY,PDE4B,-0.142517745,-0.315284221740275,-0.42456752227938366,Neutral,Neutral
GRAVITY,KIF23,-0.496856437,-0.3237661531554168,-0.43516317228613033,Neutral,Neutral
GRAVITY,RHEB,-0.660759854,-0.5846101393463307,-0.7610101343482958,Destabilizing,Destabilizing
